Date : 2026-02-10 17:22:34
Directory : /home/xiaohu/workspace/MyBlog
Total : 79 files,  4762 codes, 3 comments, 1072 blanks, all 5837 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| C++                |         38 |      2,720 |          0 |        665 |      3,385 |
| TypeScript JSX     |         14 |        733 |          0 |        111 |        844 |
| Markdown           |          1 |        364 |          0 |        120 |        484 |
| PostCSS            |          1 |        311 |          0 |         54 |        365 |
| TypeScript         |         11 |        279 |          0 |         57 |        336 |
| Shell Script       |          3 |        103 |          3 |         31 |        137 |
| MS SQL             |          2 |         67 |          0 |         12 |         79 |
| CMake              |          1 |         43 |          0 |          6 |         49 |
| JSON               |          2 |         40 |          0 |          2 |         42 |
| YAML               |          1 |         33 |          0 |          2 |         35 |
| Docker             |          2 |         21 |          0 |          6 |         27 |
| HTML               |          1 |         16 |          0 |          1 |         17 |
| JSON with Comments |          1 |         16 |          0 |          1 |         17 |
| Properties         |          1 |         16 |          0 |          4 |         20 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                          |         79 |      4,762 |          3 |      1,072 |      5,837 |
| . (Files)                                                                  |          2 |        397 |          0 |        122 |        519 |
| backend                                                                    |         46 |      2,959 |          3 |        719 |      3,681 |
| backend (Files)                                                            |          2 |         53 |          0 |         10 |         63 |
| backend/config                                                             |          1 |         16 |          0 |          1 |         17 |
| backend/migrations                                                         |          2 |         67 |          0 |         12 |         79 |
| backend/scripts                                                            |          2 |         23 |          2 |          9 |         34 |
| backend/src                                                                |         38 |      2,720 |          0 |        665 |      3,385 |
| backend/src (Files)                                                        |          1 |        209 |          0 |         39 |        248 |
| backend/src/app                                                            |          2 |         65 |          0 |         17 |         82 |
| backend/src/auth                                                           |          6 |        542 |          0 |        127 |        669 |
| backend/src/controllers                                                    |          8 |        637 |          0 |        172 |        809 |
| backend/src/db                                                             |          3 |        203 |          0 |         52 |        255 |
| backend/src/logging                                                        |          1 |         19 |          0 |          6 |         25 |
| backend/src/middleware                                                     |          4 |         91 |          0 |         28 |        119 |
| backend/src/models                                                         |          2 |         28 |          0 |         10 |         38 |
| backend/src/repositories                                                   |          6 |        734 |          0 |        167 |        901 |
| backend/src/utils                                                          |          5 |        192 |          0 |         47 |        239 |
| backend/tests                                                              |          1 |         80 |          1 |         22 |        103 |
| frontend                                                                   |         31 |      1,406 |          0 |        231 |      1,637 |
